Metrics for vit_base_patch16_224 at 20250625_033820
Hyperparameters
learning_rate,0.01
batch_size,1000
num_epochs,600
test_every_x_epochs,3

epoch,train_loss,train_acc,test_loss,test_acc,best_test_acc
1,2.5856815775235495,0.16708333333333333,,,0.0
2,1.5571280072132747,0.526875,,,0.0
3,1.173686479528745,0.6341666666666667,1.061684509118398,0.6627450980392157,0.6627450980392157
4,0.9906076341867447,0.698125,,,0.6627450980392157
5,0.8832448025544485,0.72625,,,0.6627450980392157
6,0.8109426274895668,0.746875,0.8017057332338071,0.7450980392156863,0.7450980392156863
7,0.7583685467640559,0.7647916666666666,,,0.7450980392156863
8,0.718346357345581,0.7752083333333334,,,0.7450980392156863
9,0.6860282073418299,0.7858333333333334,0.6981385209981132,0.7862745098039216,0.7862745098039216
10,0.6592893749475479,0.7952083333333333,,,0.7862745098039216
11,0.6374323939283689,0.80125,,,0.7862745098039216
12,0.6174103741844496,0.806875,0.641922919773588,0.8019607843137255,0.8019607843137255
13,0.600863682727019,0.8095833333333333,,,0.8019607843137255
14,0.5857489878932635,0.8145833333333333,,,0.8019607843137255
15,0.5724870786070824,0.8158333333333333,0.6004240074578453,0.8147058823529412,0.8147058823529412
16,0.5602379788955053,0.821875,,,0.8147058823529412
17,0.5502295593420664,0.824375,,,0.8147058823529412
18,0.5392998332778612,0.82625,0.5716439146621555,0.8186274509803921,0.8186274509803921
19,0.5307661766807238,0.8325,,,0.8186274509803921
20,0.5223685204982758,0.8333333333333334,,,0.8186274509803921
21,0.5141464484234651,0.835,0.5500960741557327,0.8215686274509804,0.8215686274509804
22,0.5066467188298702,0.8383333333333334,,,0.8215686274509804
23,0.5002823509275913,0.8391666666666666,,,0.8215686274509804
24,0.4941036527355512,0.840625,0.5316382342693853,0.8264705882352941,0.8264705882352941
25,0.4879661152760188,0.8427083333333333,,,0.8264705882352941
26,0.4826073038081328,0.8477083333333333,,,0.8264705882352941
27,0.4772552624344826,0.8477083333333333,0.5187547054945254,0.8264705882352941,0.8264705882352941
28,0.4722938636938731,0.846875,,,0.8264705882352941
29,0.4675543246169885,0.8510416666666667,,,0.8264705882352941
30,0.4625243234137694,0.8504166666666667,0.5049610359995973,0.8333333333333334,0.8333333333333334
31,0.4583600101371606,0.8539583333333334,,,0.8333333333333334
32,0.45437824726104736,0.854375,,,0.8333333333333334
33,0.45016128694017726,0.856875,0.4961378118571113,0.8294117647058824,0.8333333333333334
34,0.4473513178527355,0.8554166666666667,,,0.8333333333333334
35,0.44343726336956024,0.8577083333333333,,,0.8333333333333334
36,0.43994269892573357,0.8577083333333333,0.48481595399332983,0.8411764705882353,0.8411764705882353
37,0.4365754971901576,0.8620833333333333,,,0.8411764705882353
38,0.4332043305039406,0.8614583333333333,,,0.8411764705882353
39,0.4296490016082923,0.86375,0.4763683296886145,0.8372549019607843,0.8411764705882353
40,0.42789961646000546,0.8629166666666667,,,0.8411764705882353
41,0.42404568443695706,0.8639583333333334,,,0.8411764705882353
42,0.42116424068808556,0.865,0.4701467173940995,0.8362745098039216,0.8411764705882353
43,0.41878071675697964,0.8654166666666666,,,0.8411764705882353
44,0.4159375528494517,0.8660416666666667,,,0.8411764705882353
45,0.4138256559769313,0.8666666666666667,0.46239080557636186,0.8441176470588235,0.8441176470588235
46,0.4109942714373271,0.8675,,,0.8441176470588235
47,0.4084208781520526,0.86875,,,0.8441176470588235
48,0.4063369197150071,0.8683333333333333,0.45795488649723576,0.8441176470588235,0.8441176470588235
49,0.40455368533730507,0.8702083333333334,,,0.8441176470588235
50,0.40175244708855945,0.8695833333333334,,,0.8441176470588235
51,0.3997221551835537,0.87,0.4526423110681422,0.8490196078431372,0.8490196078431372
52,0.3975425735116005,0.8710416666666667,,,0.8490196078431372
53,0.3956362729271253,0.871875,,,0.8490196078431372
54,0.39377134417494136,0.8739583333333333,0.4470071222852258,0.8480392156862745,0.8490196078431372
55,0.3915467970073223,0.8729166666666667,,,0.8490196078431372
56,0.3900378706554572,0.8745833333333334,,,0.8490196078431372
57,0.38835811118284863,0.8741666666666666,0.4426118842526978,0.8529411764705882,0.8529411764705882
58,0.3863673396408558,0.8754166666666666,,,0.8529411764705882
59,0.38439856966336566,0.874375,,,0.8529411764705882
60,0.38262489686409634,0.8745833333333334,0.43861574431260425,0.85,0.8529411764705882
61,0.38107424477736157,0.8758333333333334,,,0.8529411764705882
62,0.37924810498952866,0.8752083333333334,,,0.8529411764705882
63,0.3780032421151797,0.8777083333333333,0.43420939176690343,0.8509803921568627,0.8529411764705882
64,0.3761932949225108,0.87625,,,0.8529411764705882
65,0.3749388977885246,0.8764583333333333,,,0.8529411764705882
66,0.3734157035748164,0.8779166666666667,0.431520457945618,0.8519607843137255,0.8529411764705882
67,0.3717012306054433,0.8764583333333333,,,0.8529411764705882
68,0.3706401598950227,0.8791666666666667,,,0.8529411764705882
69,0.36901268114646274,0.879375,0.42792900958481955,0.8539215686274509,0.8539215686274509
70,0.36740495016177493,0.8795833333333334,,,0.8539215686274509
71,0.3662475186089675,0.88125,,,0.8539215686274509
72,0.3647807352244854,0.880625,0.425438488815345,0.8539215686274509,0.8539215686274509
73,0.3632451444864273,0.8816666666666667,,,0.8539215686274509
74,0.36208759620785713,0.8825,,,0.8539215686274509
75,0.3607054427266121,0.8814583333333333,0.4221033871758218,0.8578431372549019,0.8578431372549019
