Metrics for vit_base_patch16_224 at 20250630_063640
Optimizer, sgd
Momentum, 0.5
Hyperparameters
learning_rate,0.005
batch_size,1000
num_epochs,1000
test_every_x_epochs,3

epoch,train_loss,train_acc,test_loss,test_acc,best_test_acc
1,2.3938554525375366,0.25166666666666665,,,0.0
2,1.4664736141761143,0.5810416666666667,,,0.0
3,1.101124847928683,0.6802083333333333,0.98648173902549,0.7196078431372549,0.7196078431372549
4,0.9380489562948545,0.72375,,,0.7196078431372549
5,0.8429626747965813,0.7495833333333334,,,0.7196078431372549
6,0.7788615226745605,0.7625,0.760218455510981,0.7647058823529411,0.7647058823529411
7,0.7317165061831474,0.7747916666666667,,,0.7647058823529411
8,0.6955741395552953,0.7864583333333334,,,0.7647058823529411
9,0.6663667485117912,0.795625,0.6686101146772796,0.792156862745098,0.792156862745098
10,0.642062596976757,0.8035416666666667,,,0.792156862745098
11,0.6210568671425184,0.80875,,,0.792156862745098
12,0.6036397616068522,0.8135416666666667,0.6161544241157233,0.8107843137254902,0.8107843137254902
13,0.5875556394457817,0.8185416666666666,,,0.8107843137254902
14,0.5743916978438696,0.8204166666666667,,,0.8107843137254902
15,0.5620551258325577,0.8252083333333333,0.580285879911161,0.8225490196078431,0.8225490196078431
16,0.5506709838906924,0.8258333333333333,,,0.8225490196078431
17,0.5402519653240839,0.8295833333333333,,,0.8225490196078431
18,0.5306861276427904,0.831875,0.5540061920296913,0.8313725490196079,0.8313725490196079
19,0.522084025045236,0.8347916666666667,,,0.8313725490196079
20,0.5142589459816614,0.835625,,,0.8313725490196079
21,0.5071120498081049,0.8372916666666667,0.5341678191633785,0.8343137254901961,0.8343137254901961
22,0.499910323570172,0.84,,,0.8343137254901961
23,0.49405452733238536,0.8410416666666667,,,0.8343137254901961
24,0.48789877196153003,0.844375,0.5171653558226192,0.8372549019607843,0.8372549019607843
25,0.48211077600717545,0.8464583333333333,,,0.8372549019607843
26,0.47662360469500226,0.846875,,,0.8372549019607843
27,0.47173892334103584,0.8485416666666666,0.503941161959779,0.8441176470588235,0.8441176470588235
28,0.4670919291675091,0.8504166666666667,,,0.8441176470588235
29,0.46222978830337524,0.853125,,,0.8441176470588235
30,0.45817102243502933,0.8525,0.4924464570541008,0.8509803921568627,0.8509803921568627
31,0.45368211964766186,0.855,,,0.8509803921568627
32,0.4497198350727558,0.856875,,,0.8509803921568627
33,0.4459814454118411,0.855625,0.48261703287853913,0.8490196078431372,0.8509803921568627
34,0.4425834082067013,0.85875,,,0.8509803921568627
35,0.4394235908985138,0.859375,,,0.8509803921568627
36,0.43539833401640254,0.8589583333333334,0.47404300465303306,0.8539215686274509,0.8539215686274509
37,0.4324656091630459,0.861875,,,0.8539215686274509
38,0.4293854149679343,0.8625,,,0.8539215686274509
39,0.426372683296601,0.8629166666666667,0.4660966939785901,0.8588235294117647,0.8588235294117647
40,0.4233841511110465,0.8633333333333333,,,0.8588235294117647
41,0.42087982843319577,0.8645833333333334,,,0.8588235294117647
42,0.41807495678464573,0.8645833333333334,0.45980364493295256,0.8558823529411764,0.8588235294117647
43,0.4154154968758424,0.865625,,,0.8588235294117647
44,0.41262176384528476,0.8677083333333333,,,0.8588235294117647
45,0.41058827688296634,0.8685416666666667,0.4533768810477911,0.8607843137254902,0.8607843137254902
46,0.4083350437382857,0.8697916666666666,,,0.8607843137254902
47,0.40581653142968815,0.8710416666666667,,,0.8607843137254902
48,0.4033345120648543,0.870625,0.44877563621483596,0.8598039215686275,0.8607843137254902
49,0.4013685385386149,0.8710416666666667,,,0.8607843137254902
50,0.3990536170701186,0.87125,,,0.8607843137254902
51,0.3968011438846588,0.871875,0.4437182756031261,0.8588235294117647,0.8607843137254902
52,0.3953089440862338,0.8720833333333333,,,0.8607843137254902
53,0.392899530629317,0.8735416666666667,,,0.8607843137254902
54,0.39110779638091725,0.87375,0.4386660082667482,0.861764705882353,0.861764705882353
55,0.38944120208422345,0.8752083333333334,,,0.861764705882353
56,0.3874866118033727,0.8752083333333334,,,0.861764705882353
57,0.3856959131856759,0.8760416666666667,0.43468360456765864,0.8647058823529412,0.8647058823529412
58,0.38394812618692714,0.875,,,0.8647058823529412
59,0.3822704677780469,0.8764583333333333,,,0.8647058823529412
60,0.38032906750837964,0.8785416666666667,0.43063704815565373,0.8647058823529412,0.8647058823529412
61,0.3788675566514333,0.8777083333333333,,,0.8647058823529412
62,0.3772612338264783,0.87875,,,0.8647058823529412
63,0.37627500916520756,0.878125,0.4278000371128905,0.865686274509804,0.865686274509804
64,0.37434854979316395,0.8808333333333334,,,0.865686274509804
65,0.3727323350807031,0.8797916666666666,,,0.865686274509804
66,0.3715612565477689,0.8797916666666666,0.4247397710295284,0.8627450980392157,0.865686274509804
67,0.37009603157639503,0.881875,,,0.865686274509804
68,0.36809714138507843,0.881875,,,0.865686274509804
69,0.36688105513652164,0.8827083333333333,0.42057642925019356,0.8686274509803922,0.8686274509803922
70,0.36551739772160846,0.883125,,,0.8686274509803922
71,0.36421285197138786,0.8816666666666667,,,0.8686274509803922
72,0.36295033742984134,0.8829166666666667,0.4177386421783298,0.8666666666666667,0.8686274509803922
73,0.36158812294403714,0.8833333333333333,,,0.8686274509803922
74,0.36001234253247577,0.8835416666666667,,,0.8686274509803922
75,0.35889605432748795,0.884375,0.41536246941370125,0.865686274509804,0.8686274509803922
76,0.35785889998078346,0.8854166666666666,,,0.8686274509803922
77,0.3566591826577981,0.8847916666666666,,,0.8686274509803922
78,0.35524845744172734,0.884375,0.4127313287234774,0.8637254901960785,0.8686274509803922
79,0.35417932520310086,0.885,,,0.8686274509803922
80,0.35323845595121384,0.8860416666666666,,,0.8686274509803922
81,0.3520752477149169,0.8864583333333333,0.41025080488008614,0.8647058823529412,0.8686274509803922
82,0.3509024816254775,0.8866666666666667,,,0.8686274509803922
83,0.34983522817492485,0.8879166666666667,,,0.8686274509803922
84,0.3486892879009247,0.8885416666666667,0.40793633051947054,0.8647058823529412,0.8686274509803922
85,0.34746796389420825,0.8889583333333333,,,0.8686274509803922
86,0.3468424479166667,0.8875,,,0.8686274509803922
87,0.3456549433370431,0.8891666666666667,0.40578313668568927,0.8647058823529412,0.8686274509803922
88,0.34437234078844386,0.89,,,0.8686274509803922
89,0.34328222026427585,0.89,,,0.8686274509803922
90,0.34257736802101135,0.8885416666666667,0.4036848311330758,0.865686274509804,0.8686274509803922
91,0.3424135359625022,0.889375,,,0.8686274509803922
92,0.3404531106352806,0.8904166666666666,,,0.8686274509803922
93,0.33940627550085384,0.8908333333333334,0.40198294730747447,0.8647058823529412,0.8686274509803922
94,0.3390536593894164,0.8902083333333334,,,0.8686274509803922
95,0.33809611697991687,0.890625,,,0.8686274509803922
96,0.3367069500188033,0.89125,0.40016351903186126,0.865686274509804,0.8686274509803922
97,0.33591396485765773,0.8908333333333334,,,0.8686274509803922
98,0.3351275697350502,0.8914583333333334,,,0.8686274509803922
99,0.3342127973834674,0.891875,0.39869089015558656,0.8666666666666667,0.8686274509803922
100,0.333302304148674,0.893125,,,0.8686274509803922
101,0.3324342792232831,0.8925,,,0.8686274509803922
102,0.331413680066665,0.8916666666666667,0.3968525298085867,0.8676470588235294,0.8686274509803922
103,0.3306259425977866,0.8935416666666667,,,0.8686274509803922
104,0.33003054310878116,0.8933333333333333,,,0.8686274509803922
105,0.3289904532333215,0.8933333333333333,0.3947375142106823,0.8676470588235294,0.8686274509803922
106,0.3282337871690591,0.8939583333333333,,,0.8686274509803922
107,0.32738182817896205,0.893125,,,0.8686274509803922
108,0.32655734196305275,0.8941666666666667,0.39369115993088366,0.8705882352941177,0.8705882352941177
109,0.3257672004401684,0.8935416666666667,,,0.8705882352941177
110,0.32496387014786404,0.8958333333333334,,,0.8705882352941177
111,0.32433277120192844,0.895,0.3919828601327597,0.8676470588235294,0.8705882352941177
112,0.32350533207257587,0.8947916666666667,,,0.8705882352941177
113,0.32286567240953445,0.8966666666666666,,,0.8705882352941177
114,0.3219312106569608,0.895625,0.390837654763577,0.8705882352941177,0.8705882352941177
115,0.32134345546364784,0.8970833333333333,,,0.8705882352941177
116,0.3205627811451753,0.8958333333333334,,,0.8705882352941177
117,0.31989772245287895,0.8970833333333333,0.38996590527833674,0.8696078431372549,0.8705882352941177
118,0.31918856749931973,0.8975,,,0.8705882352941177
119,0.31849993268648785,0.8977083333333333,,,0.8705882352941177
120,0.3177807256579399,0.8975,0.3882935762989755,0.8686274509803922,0.8705882352941177
121,0.31682847812771797,0.8972916666666667,,,0.8705882352941177
122,0.31640510509411496,0.8977083333333333,,,0.8705882352941177
123,0.31570208196838695,0.8977083333333333,0.3872348523023082,0.8705882352941177,0.8705882352941177
