Metrics for vit_base_patch16_224 at 20250701_110232
Optimizer, adam
Hyperparameters
learning_rate,0.0001
batch_size,256
num_epochs,400
test_every_x_epochs,3

epoch,train_loss,train_acc,test_loss,test_acc,best_test_acc
1,2.6861589590708417,0.06270833333333334,,,0.0
2,2.047622068723043,0.320625,,,0.0
3,1.6040837335586549,0.52125,1.4192148849075916,0.5901960784313726,0.5901960784313726
4,1.312589259147644,0.6175,,,0.5901960784313726
5,1.1201071468989054,0.6770833333333334,,,0.5901960784313726
6,0.9885804947217306,0.71,0.9379337366889505,0.7352941176470589,0.7352941176470589
7,0.8931172601381938,0.7385416666666667,,,0.7352941176470589
8,0.8211193426450094,0.7589583333333333,,,0.7352941176470589
9,0.7646009278297424,0.7764583333333334,0.7573815895061867,0.7794117647058824,0.7794117647058824
10,0.719876697063446,0.7889583333333333,,,0.7794117647058824
11,0.6824778993924459,0.801875,,,0.7794117647058824
12,0.6521899485588074,0.8052083333333333,0.6623886504594018,0.7990196078431373,0.7990196078431373
13,0.6250054335594177,0.8135416666666667,,,0.7990196078431373
14,0.6017346628506979,0.8214583333333333,,,0.7990196078431373
15,0.5816666825612387,0.8266666666666667,0.603252909113379,0.8156862745098039,0.8156862745098039
16,0.5636562029520671,0.83,,,0.8156862745098039
17,0.5478932603200277,0.835,,,0.8156862745098039
18,0.5334388756752014,0.8385416666666666,0.5623010619013917,0.8176470588235294,0.8176470588235294
19,0.5202331479390462,0.8420833333333333,,,0.8176470588235294
20,0.508504345814387,0.8454166666666667,,,0.8176470588235294
21,0.4977441088358561,0.848125,0.5318786288008971,0.8274509803921568,0.8274509803921568
22,0.48746764540672305,0.8510416666666667,,,0.8274509803921568
23,0.478158940076828,0.8525,,,0.8274509803921568
24,0.4696619470914205,0.85375,0.5079963547341964,0.8362745098039216,0.8362745098039216
25,0.46167479316393534,0.8570833333333333,,,0.8362745098039216
26,0.45406457781791687,0.8583333333333333,,,0.8362745098039216
27,0.4475963008403778,0.858125,0.4889483741685456,0.846078431372549,0.846078431372549
28,0.44027239362398785,0.8627083333333333,,,0.846078431372549
29,0.43439826170603435,0.8625,,,0.846078431372549
30,0.4281098397572835,0.8645833333333334,0.47399608855154,0.8470588235294118,0.8470588235294118
31,0.42259608427683515,0.8660416666666667,,,0.8470588235294118
32,0.4172008800506592,0.8691666666666666,,,0.8470588235294118
33,0.4120394372940063,0.8691666666666666,0.46102933696672027,0.8509803921568627,0.8509803921568627
34,0.4070517957210541,0.8710416666666667,,,0.8509803921568627
35,0.40300113598505655,0.8722916666666667,,,0.8509803921568627
36,0.3983031992117564,0.8735416666666667,0.45029357023098887,0.8509803921568627,0.8509803921568627
37,0.39454768935839335,0.8741666666666666,,,0.8509803921568627
38,0.38952168822288513,0.876875,,,0.8509803921568627
39,0.3858946144580841,0.87625,0.4404971815207425,0.8637254901960785,0.8637254901960785
40,0.38202088356018066,0.8777083333333333,,,0.8637254901960785
41,0.37829729676246643,0.878125,,,0.8637254901960785
42,0.375224267244339,0.878125,0.4321860732401119,0.8637254901960785,0.8637254901960785
43,0.3713570813337962,0.87875,,,0.8637254901960785
44,0.36815515518188474,0.880625,,,0.8637254901960785
45,0.3653493324915568,0.8814583333333333,0.4252695357098299,0.8637254901960785,0.8637254901960785
46,0.3619030539194743,0.881875,,,0.8637254901960785
47,0.35899930993715923,0.883125,,,0.8637254901960785
48,0.35619195461273195,0.8833333333333333,0.41906952711881373,0.8676470588235294,0.8676470588235294
49,0.3532338678836823,0.885625,,,0.8676470588235294
50,0.35064005653063457,0.8854166666666666,,,0.8676470588235294
51,0.347875067392985,0.8864583333333333,0.4130110437963523,0.8696078431372549,0.8696078431372549
52,0.34518544634183246,0.8883333333333333,,,0.8696078431372549
53,0.3426501754919688,0.88875,,,0.8696078431372549
54,0.3402623093128204,0.890625,0.4086470884435317,0.8627450980392157,0.8696078431372549
55,0.33793570081392926,0.8904166666666666,,,0.8696078431372549
56,0.3356972408294678,0.8922916666666667,,,0.8696078431372549
57,0.33336856166521706,0.893125,0.4034487035344629,0.8705882352941177,0.8705882352941177
58,0.3313014101982117,0.894375,,,0.8705882352941177
59,0.3293155320485433,0.89375,,,0.8705882352941177
60,0.326953341960907,0.8945833333333333,0.3992780403179281,0.8696078431372549,0.8705882352941177
61,0.3250182271003723,0.895,,,0.8705882352941177
62,0.32269831498463947,0.895,,,0.8705882352941177
63,0.3208345894018809,0.8958333333333334,0.3958078765986012,0.8686274509803922,0.8705882352941177
64,0.3189637013276418,0.8960416666666666,,,0.8705882352941177
65,0.31670430024464924,0.8966666666666666,,,0.8705882352941177
66,0.3151544439792633,0.8983333333333333,0.39248262994429645,0.8725490196078431,0.8725490196078431
67,0.31329761584599813,0.8977083333333333,,,0.8725490196078431
68,0.31154018044471743,0.8977083333333333,,,0.8725490196078431
69,0.3096777832508087,0.898125,0.3892533986007466,0.8715686274509804,0.8725490196078431
70,0.308095717827479,0.8991666666666667,,,0.8725490196078431
71,0.30649111469586693,0.9,,,0.8725490196078431
72,0.3048535148302714,0.8989583333333333,0.38632814732252385,0.8715686274509804,0.8725490196078431
73,0.3033870875835419,0.8997916666666667,,,0.8725490196078431
74,0.3015966101487478,0.8997916666666667,,,0.8725490196078431
75,0.2999363656838735,0.9008333333333334,0.3834807919520958,0.8735294117647059,0.8735294117647059
76,0.29865129748980207,0.9020833333333333,,,0.8735294117647059
77,0.29697514017422993,0.9039583333333333,,,0.8735294117647059
78,0.2955876817305883,0.9041666666666667,0.38103508721379675,0.8735294117647059,0.8735294117647059
79,0.2940783123175303,0.9047916666666667,,,0.8735294117647059
80,0.29253446936607364,0.905,,,0.8735294117647059
81,0.29092277884483336,0.9052083333333333,0.3786825152588826,0.8735294117647059,0.8735294117647059
