Metrics for resnet50 at 20250712_193535
Optimizer, sgd
Momentum, 0.0
Hyperparameters
learning_rate,0.01
batch_size,512
num_epochs,1000
test_every_x_epochs,3
weight_decay,0.1
Training Time (HH:MM:SS),01:52:13

epoch,train_loss,train_acc,test_loss,test_acc,best_test_acc
1,2.4883518505096434,0.10270833333333333,,,0.12941176470588237
2,2.381032921473185,0.243125,,,0.12941176470588237
3,2.284974775314331,0.36666666666666664,2.233313207065358,0.4176470588235294,0.4176470588235294
4,2.1953078238169352,0.4583333333333333,,,0.4176470588235294
5,2.115767415364583,0.5197916666666667,,,0.4176470588235294
6,2.04038950920105,0.55625,1.9961746585135367,0.5568627450980392,0.5568627450980392
7,1.9737144978841146,0.5864583333333333,,,0.5568627450980392
8,1.9104830439885456,0.605625,,,0.5568627450980392
9,1.8522968530654906,0.61375,1.8164363847059362,0.6049019607843137,0.6049019607843137
10,1.7995955387751261,0.630625,,,0.6049019607843137
11,1.7495521052678427,0.640625,,,0.6049019607843137
12,1.7057627360026042,0.6520833333333333,1.675392804893793,0.6598039215686274,0.6598039215686274
13,1.6621473455429077,0.6585416666666667,,,0.6598039215686274
14,1.6222148116429647,0.6702083333333333,,,0.6598039215686274
15,1.587501041094462,0.6708333333333333,1.5635727587868185,0.6745098039215687,0.6745098039215687
16,1.5522136958440145,0.676875,,,0.6745098039215687
17,1.52029061794281,0.6877083333333334,,,0.6745098039215687
18,1.4879644536972045,0.68875,1.4691298311831904,0.6941176470588235,0.6941176470588235
19,1.4611302455266317,0.6860416666666667,,,0.6941176470588235
20,1.434850018819173,0.6977083333333334,,,0.6941176470588235
21,1.4112984832127888,0.6958333333333333,1.3929364349327835,0.6941176470588235,0.6941176470588235
22,1.386894416809082,0.7008333333333333,,,0.6941176470588235
23,1.3616642761230469,0.7091666666666666,,,0.6941176470588235
24,1.3418781407674154,0.7089583333333334,1.3297311932432885,0.7058823529411765,0.7058823529411765
25,1.3220603958765667,0.7095833333333333,,,0.7058823529411765
26,1.3024482202529908,0.7133333333333334,,,0.7058823529411765
27,1.2845721165339152,0.7152083333333333,1.272677648301218,0.7098039215686275,0.7098039215686275
28,1.2654750204086305,0.7179166666666666,,,0.7098039215686275
29,1.2508581177393596,0.7216666666666667,,,0.7098039215686275
30,1.2350239292780558,0.7220833333333333,1.2261953545551674,0.7225490196078431,0.7225490196078431
31,1.2183579508463542,0.725,,,0.7225490196078431
32,1.2054351059595745,0.7214583333333333,,,0.7225490196078431
33,1.1912959909439087,0.7266666666666667,1.185128239323111,0.7215686274509804,0.7225490196078431
34,1.1774448919296265,0.7260416666666667,,,0.7225490196078431
35,1.1653438059488932,0.7283333333333334,,,0.7225490196078431
36,1.154219029744466,0.7327083333333333,1.1490940414223016,0.7313725490196078,0.7313725490196078
37,1.1406084823608398,0.7327083333333333,,,0.7313725490196078
38,1.1290651321411134,0.7322916666666667,,,0.7313725490196078
